DAUID,POP_2016,POP_DENSITY,LANDAREA
3520,2731571,4334.4,630.2
35200002,356,7063.5,0.05
35200003,335,7158.1,0.05
35200004,384,7868.9,0.05
35200005,408,9209.9,0.04
35200006,527,9213.3,0.06
35200007,653,8436.7,0.08
35200009,293,4592.5,0.06
35200010,274,7569.1,0.04
35200012,503,10589.5,0.05
35200013,59,8082.2,0.01
35200018,497,2820.7,0.18
35200028,1174,9467.7,0.12
35200029,378,8552,0.04
35200030,521,5432.7,0.1
35200031,1142,4928.8,0.23
35200032,692,2985.3,0.23
35200033,471,4816,0.1
35200034,791,1280.6,0.62
35200035,673,5924.3,0.11
35200036,273,6791,0.04
35200037,1283,5370.4,0.24
35200039,314,5080.9,0.06
35200041,902,4061.2,0.22
35200042,625,4050.6,0.15
35200043,572,718.2,0.8
35200044,234,8297.9,0.03
35200046,774,8331.5,0.09
35200047,990,17615.7,0.06
35200048,1004,10524.1,0.1
35200049,809,10125.2,0.08
35200050,1031,1840.4,0.56
35200051,467,7001.5,0.07
35200052,389,2322.4,0.17
35200053,315,6402.4,0.05
35200054,369,3321.3,0.11
35200055,463,4710.1,0.1
35200056,301,347.5,0.87
35200057,248,10081.3,0.02
35200058,275,11363.6,0.02
35200062,780,5575.4,0.14
35200064,660,4615.4,0.14
35200065,412,6710.1,0.06
35200066,483,5948.3,0.08
35200067,623,6101.9,0.1
35200068,499,8926.7,0.06
35200069,673,5125.7,0.13
35200070,556,7798,0.07
35200071,436,8273.2,0.05
35200072,366,3128.2,0.12
35200073,377,6842.1,0.06
35200074,382,6713.5,0.06
35200078,755,4537.3,0.17
35200079,1276,12772.8,0.1
35200080,454,1973.1,0.23
35200082,353,6990.1,0.05
35200085,357,4332.5,0.08
35200086,527,4566.7,0.12
35200087,629,3448.5,0.18
35200088,484,4412,0.11
35200089,596,3776.9,0.16
35200090,582,4399.1,0.13
35200091,524,7705.9,0.07
35200092,775,4284.1,0.18
35200093,618,4327.7,0.14
35200094,484,220.8,2.19
35200095,541,7271.5,0.07
